"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"dd command targeting disk device","0","test_e2e_detection[DANGCMD_DD_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Whitespace-only args","0","test_e2e_detection[EDGE_WHITESPACE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"base64 encoding AWS credentials for exfiltration","0","test_e2e_detection[EXFIL_AWS_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Accessing /proc/self/environ","0","test_e2e_detection[ESCAPE_PROC_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Git operations with && (ShellInj non-target: tool=bash)","1","test_e2e_detection[BENIGN_GIT_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Subshell injection in read tool (whoami, no WE path)","1","test_e2e_detection[SHELLINJ_SUBSHELL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"wget exfiltrating SSH private key","0","test_e2e_detection[EXFIL_SSH_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Downgrading to less capable model","0","test_e2e_detection[MODEL_DOWNGRADE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"User message event (non-tool_call)","0","test_e2e_detection[BENIGN_MSG_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"key=value format with dangerous command (tool=bash, rm -rf /)","0","test_e2e_detection[PLAIN_KV_DANGER_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Path traversal to escape workspace","0","test_e2e_detection[ESCAPE_TRAVERSAL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Infinite while true loop","1","test_e2e_detection[RUNAWAY_LOOP_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Accessing /root/ directory","1","test_e2e_detection[ESCAPE_ROOT_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Multi-byte Unicode characters in args","0","test_e2e_detection[EDGE_UNICODE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"10KB-1 input (10239 bytes args, below threshold)","1","test_e2e_detection[EDGE_10KB_UNDER_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Changing to unauthorized model","0","test_e2e_detection[MODEL_CHANGE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
