"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Normal file read operation","0","test_e2e_detection[BENIGN_READ_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"System shutdown command","1","test_e2e_detection[DANGCMD_SHUTDOWN_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Fork bomb execution","0","test_e2e_detection[DANGCMD_FORKBOMB_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Non-config_change event with suspicious keyword (SuspiciousConfig requires config_change type)","0","test_e2e_detection[BENIGN_SC_NOTYPE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Empty args string","0","test_e2e_detection[EDGE_EMPTY_ARGS_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"chmod 777 on system directory","1","test_e2e_detection[DANGCMD_CHMOD_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Changing to custom unsafe model","0","test_e2e_detection[MODEL_CUSTOM_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Empty tool with system path (parser WE non-detection: tool='', but Falco Escape fires on args)","0","test_e2e_detection[BENIGN_WE_NOTOOL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Switching to local unverified model","1","test_e2e_detection[MODEL_LOCAL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"rm -rf / destructive command","0","test_e2e_detection[DANGCMD_RMRF_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Bash tool with shell metacharacters (ShellInj excludes bash)","0","test_e2e_detection[BENIGN_SI_BASH_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Empty tool with dangerous args","0","test_e2e_detection[EDGE_EMPTY_TOOL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Bypassing security controls","0","test_e2e_detection[CONFIG_BYPASS_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Disabling authentication","0","test_e2e_detection[CONFIG_DISABLEAUTH_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Setting dm_policy to allow_all","1","test_e2e_detection[CONFIG_ALLOWALL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Agent runaway pattern (max retries exceeded, no tool needed)","0","test_e2e_detection[PLAIN_RUNAWAY_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"terminal tool with shell injection (parser excludes terminal, Falco does not)","1","test_e2e_detection[EDGE_TERMINAL_SHELLINJ_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"curl exfiltrating /etc/passwd","1","test_e2e_detection[EXFIL_CURL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"10KB exact input (10240 bytes args, at threshold)","1","test_e2e_detection[EDGE_10KB_EXACT_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Recursion depth limit exceeded","1","test_e2e_detection[RUNAWAY_RECURSION_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Workspace escape + shell injection (read tool + semicolon + /etc/passwd)","0","test_e2e_detection[COMP_ESCAPE_SHELLINJ_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Freetext format with dangerous command (tool not extractable)","1","test_e2e_detection[PLAIN_FREETEXT_DANGER_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Normal file listing operation","0","test_e2e_detection[BENIGN_LS_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Semicolon injection in edit tool","0","test_e2e_detection[SHELLINJ_SEMICOLON_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Normal file write operation","1","test_e2e_detection[BENIGN_WRITE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Infinite loop detected in agent","1","test_e2e_detection[RUNAWAY_INFINITE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"nc exfiltrating .env file","1","test_e2e_detection[EXFIL_ENV_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Dangerous command + data exfiltration + workspace escape","0","test_e2e_detection[COMP_DANGER_EXFIL_ESCAPE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Pipe injection in grep tool (whoami, no WE path)","1","test_e2e_detection[SHELLINJ_PIPE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"key=value format with shell injection + workspace escape","0","test_e2e_detection[PLAIN_SHELLINJ_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Non-bash tool with dangerous command (DangerousCmd requires bash/shell/exec/terminal)","0","test_e2e_detection[BENIGN_DC_NONTOOL_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Data exfiltration + workspace escape (curl + /etc/passwd)","1","test_e2e_detection[COMP_EXFIL_ESCAPE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"10KB+1 input (10241 bytes args, above threshold)","0","test_e2e_detection[EDGE_10KB_OVER_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"NULL byte in args disrupts pattern matching","0","test_e2e_detection[EDGE_NULLBYTE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Backtick injection in write tool","1","test_e2e_detection[SHELLINJ_BACKTICK_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Max retries exceeded error","1","test_e2e_detection[RUNAWAY_RETRIES_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Sensitive path without transfer tool (DataExfil requires transfer tool)","1","test_e2e_detection[BENIGN_DE_NOTRANSFER_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Reading /etc/passwd via tool","0","test_e2e_detection[ESCAPE_PASSWD_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"key=value format with workspace escape (tool=read, /etc/shadow)","0","test_e2e_detection[PLAIN_KV_ESCAPE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
"Setting insecure mode","1","test_e2e_detection[CONFIG_INSECURE_001]","","Sun Mar 01 07:02:11 UTC 2026","passed","Sun Mar 01 07:02:11 UTC 2026","","test_e2e_wrapper","",""
